car_id,engine,displacement,net_torque,horsepower
502,V6,3.1,243.0,255.0
503,V8,4.2,310.0,335.0
504,V6,3.1,243.0,255.0
505,V6,3.2,243.0,255.0
506,V8,4.2,310.0,335.0
507,V6,3.0,221.0,220.0
508,V6,3.0,221.0,220.0
509,V6,2.7,258.0,250.0
510,V8,4.2,295.0,300.0
511,V6,3.0,221.0,220.0
512,V6,2.7,280.0,265.0
513,V6,2.7,258.0,250.0
514,V6,3.0,221.0,220.0
515,V6,3.0,221.0,220.0
516,V8,4.2,295.0,300.0
517,V6,3.0,221.0,220.0
518,V6,2.7,258.0,250.0
519,V6,2.7,258.0,250.0
520,V6,3.0,221.0,220.0
521,V6,3.0,221.0,220.0
522,V8,4.2,295.0,300.0
523,V6,2.7,258.0,250.0
524,V6,3.0,221.0,220.0
525,V6,2.7,258.0,250.0
526,V6,2.8,207.0,200.0
527,V6,2.8,207.0,200.0
528,V6,2.8,207.0,200.0
529,V6,2.8,207.0,200.0
530,V8,4.2,295.0,300.0
531,V6,2.7,258.0,250.0
532,V6,2.8,207.0,200.0
533,V6,2.7,258.0,250.0
534,V6,2.8,207.0,200.0
535,V6,2.8,207.0,200.0
536,V6,2.8,207.0,200.0
537,V6,2.8,207.0,200.0
538,V6,2.8,207.0,200.0
539,V6,2.8,207.0,200.0
540,V6,2.8,207.0,200.0
541,V8,4.2,295.0,300.0
542,V6,2.7,258.0,250.0
543,V6,2.8,207.0,200.0
544,V6,2.7,258.0,250.0
545,V6,2.8,207.0,200.0
546,V6,2.8,207.0,200.0
547,V6,2.8,207.0,200.0
548,V6,2.8,207.0,200.0
549,V6,2.8,207.0,200.0
550,V6,2.8,184.0,172.0
551,V6,2.8,207.0,200.0
552,V6,2.8,184.0,172.0
553,V6,2.8,184.0,172.0
554,V6,2.8,184.0,172.0
555,V6,2.8,184.0,172.0
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,V6,3.0,369.0,335.0
567,V6,3.0,369.0,335.0
568,V6,3.0,369.0,335.0
569,V6,3.0,325.0,340.0
570,V6,3.0,325.0,340.0
571,V6,3.0,325.0,333.0
572,V6,3.0,428.0,240.0
573,V6,3.0,428.0,240.0
574,V6,3.0,325.0,333.0
575,V6,3.0,325.0,310.0
576,V6,3.0,428.0,240.0
577,V6,3.0,428.0,240.0
578,V6,3.0,325.0,310.0
579,V6,3.0,325.0,310.0
580,V6,3.0,428.0,240.0
581,V6,3.0,428.0,240.0
582,V6,3.0,325.0,310.0
583,V6,3.0,325.0,310.0
584,V6,3.0,325.0,310.0
585,V6,3.0,325.0,310.0
586,V6,3.0,325.0,310.0
587,V6,3.0,325.0,310.0
588,V6,3.0,325.0,310.0
589,Electric,,,
590,Electric,,,
591,l4,2.0,207.0,200.0
592,l4,2.0,207.0,200.0
593,l4,2.0,207.0,200.0
594,l4,2.0,207.0,200.0
595,l4,2.0,207.0,200.0
596,l4,2.0,207.0,200.0
597,l4,2.0,207.0,200.0
598,l4,2.0,207.0,200.0
599,l4,2.0,207.0,200.0
600,l4,2.0,207.0,200.0
601,l4,2.0,207.0,200.0
602,l4,2.0,207.0,200.0
603,l4,2.0,207.0,200.0
604,l4,2.0,207.0,200.0
605,l4,2.0,207.0,200.0
606,l4,2.0,207.0,200.0
607,V6,3.0,369.0,335.0
608,V6,3.0,369.0,335.0
609,V6,3.0,369.0,335.0
610,l4,2.0,280.0,288.0
611,l4,2.0,280.0,288.0
612,l4,2.0,280.0,292.0
613,l4,2.0,280.0,292.0
614,l4,2.0,280.0,292.0
615,l4,2.0,280.0,292.0
616,l4,2.0,280.0,292.0
617,l4,2.0,280.0,292.0
618,l4,2.0,280.0,292.0
619,l4,2.0,280.0,292.0
620,l4,2.0,273.0,248.0
621,l4,2.0,273.0,248.0
622,l4,2.0,273.0,248.0
623,l4,2.0,273.0,252.0
